"net rent","living area","construction year","bathroom","kitchen","quality of location","central heating"
235.9,35,1939,0,0,1,0
852.1,104,1939,1,0,1,1
693.7,29,1971,0,0,2,1
551.7,39,1972,0,0,2,1
1574.1,97,1985,0,0,1,1
941.5,62,1962,0,0,1,1
631.2,31,1965,0,0,1,1
723.4,61,1957.5,1,0,2,1
728.7,72,1978,0,0,1,1
1017.3,75,1968,0,0,1,1
1256.2,65,1956,0,0,2,1
1365.9,91,1984,0,0,1,1
1523.2,100,1959,0,0,1,1
804,32,1994.5,0,0,1,1
644.1,64,1962,0,0,1,1
479.5,63,1929,0,0,1,0
1086.2,103,1955,1,0,1,1
828.7,73,1980,0,0,1,1
643.9,60,1957,0,0,1,1
570,58,1934,0,0,1,0
650.4,32,1972,0,0,1,1
628.4,81,1996,0,1,1,1
361.7,39,1935,0,0,1,1
920.5,108,1955,1,0,1,1
1336.8,87,1979,1,1,2,1
992.8,60,1939,0,0,2,1
1343.5,125,1979,0,0,1,1
400.4,67,1964,0,0,1,0
719.1,80,1972,0,0,1,1
1241,74,1957,0,0,1,1
463.9,42,1962,0,0,1,1
805.8,39,1996,0,0,1,1
1649.9,90,1983,0,1,2,1
732.6,80,1971,0,0,1,1
643.3,41,1960,0,0,1,1
592.4,59,1960,0,0,1,1
1804.3,107,1918,0,0,2,1
941.9,63,1929,0,0,1,0
2242.8,156,1918,0,0,2,0
1036.2,110,1918,0,0,2,1
1294.9,64,1918,0,0,3,1
609.6,75,1960,0,0,3,1
736.3,54,1934,0,0,2,1
1017,70,1970,0,1,1,1
920.1,71,1970,0,0,1,1
674.5,33,1967,0,0,3,1
223.2,35,1939,0,0,1,0
636.4,27,1972,0,0,2,1
761.5,48,1972,0,0,3,1
1058.3,54,1986,0,0,2,1
657.1,30,1972,0,0,1,1
947.8,86,1965,0,0,1,1
844.9,60,1957.5,0,0,2,1
1391.4,87,1981,0,0,1,1
1047.8,78,1991,0,0,1,1
774,78,1969,0,0,1,1
1031.1,96,1967,0,0,1,1
933.7,71,1965,0,0,2,1
920,59,1986,1,0,1,1
666.5,82,1982,0,0,1,1
727.4,87,1972,0,0,1,1
789.2,78,1929,0,0,1,1
1033.9,75,1967,1,1,1,1
650.9,70,1965,0,0,1,1
720.2,57,1972,0,0,1,1
1373,75,1984,0,0,1,1
431,64,1957.5,0,0,1,1
1375.5,58,1994.5,0,0,2,1
748.8,57,1918,0,0,2,1
1576.2,123,1918,0,0,2,1
832.7,60,1956,0,0,1,1
1754.4,91,1958,0,0,1,1
901.4,53,1956,0,0,1,1
1264.4,88,1960,0,0,1,1
466.6,56,1929,0,0,1,1
799.7,84,1956,0,0,2,1
1173,75,1994.5,1,0,1,1
755.2,77,1964,0,0,1,1
666.8,77,1961,0,0,1,1
922.7,54,1990,0,0,1,1
617.5,71,1965,0,0,1,1
932,85,1957.5,0,0,1,1
1181.9,58,1994,0,0,2,1
1101.8,84,1973,0,0,1,1
568.2,67,1972,0,0,1,1
1123.1,96,1924,0,0,1,1
709.5,54,1979,0,1,1,1
590.7,42,1971,0,0,1,1
909,72,1983,1,0,1,1
849.1,61,1983,0,0,1,1
413.9,46,1965,0,0,1,1
818.3,36,1985,0,0,3,1
1104.5,61,1983,0,0,1,1
732.4,46,1991,0,0,1,1
539.6,28,1965,0,0,1,1
2019.1,105,1991,1,0,2,1
1618.8,70,1987,0,0,3,1
661.9,49,1957.5,0,0,2,1
1460,88,1983,1,0,1,1
827.1,81,1962,0,0,1,1
1172.5,87,1972,0,0,1,1
889.6,55,1969,0,0,1,1
987.8,65,1939,0,0,2,0
981.9,82,1941,0,0,1,1
474.6,48,1929,0,0,1,1
483.1,39,1957.5,0,0,2,1
899.2,88,1957.5,0,0,2,1
659.4,57,1964,0,0,2,1
808.4,68,1918,0,0,2,1
687.5,59,1958,0,0,2,1
970.4,74,1964,0,0,1,1
816.3,70,1939,0,0,1,1
701.6,47,1964,0,0,1,1
555,50,1990,0,0,2,1
527.1,68,1955,0,0,1,1
661.2,87,1969,0,0,1,1
840.3,45,1973,0,0,2,1
571,51,1971,0,0,1,1
1259.9,80,1969,0,1,2,1
1138.8,77,1936,0,0,1,1
756.4,63,1951,0,0,1,1
